Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,past_due_days,age,education,Gender
xqd20160466,COLLECTION,1000,30,5/29/2017,6/28/2017,,14,26,college,male
xqd20160467,COLLECTION,900,30,5/30/2017,6/29/2017,,15,24,college,female
xqd20160468,COLLECTION,800,15,5/31/2017,6/14/2017,,16,28,high school,male
xqd20160469,COLLECTION,700,15,6/1/2017,6/15/2017,,17,30,high school,female
xqd20160470,COLLECTION,600,15,6/2/2017,6/16/2017,,18,29,college,male
xqd20160471,COLLECTION,500,15,6/3/2017,6/17/2017,,19,31,college,female
xqd20160472,COLLECTION,400,7,6/4/2017,6/10/2017,,20,27,high school,male
xqd20160473,COLLECTION,300,7,6/5/2017,6/11/2017,,21,25,college,female
xqd20160474,COLLECTION,200,7,6/6/2017,6/12/2017,,22,23,high school,male
xqd20160475,COLLECTION,100,7,6/7/2017,6/13/2017,,23,32,college,female
xqd20160476,COLLECTION_PAIDOFF,1000,30,6/8/2017,7/7/2017,7/7/2017 14:00,3,26,college,male
xqd20160477,COLLECTION_PAIDOFF,900,30,6/9/2017,7/8/2017,7/8/2017 15:00,3,24,college,female
xqd20160478,COLLECTION_PAIDOFF,800,15,6/10/2017,6/24/2017,6/24/2017 16:00,3,28,high school,male
xqd20160479,COLLECTION_PAIDOFF,700,15,6/11/2017,6/25/2017,6/25/2017 17:00,3,30,high school,female
xqd20160480,COLLECTION_PAIDOFF,600,15,6/12/2017,6/26/2017,6/26/2017 18:00,3,29,college,male
xqd20160481,COLLECTION_PAIDOFF,500,15,6/13/2017,6/27/2017,6/27/2017 19:00,3,31,college,female
xqd20160482,COLLECTION_PAIDOFF,400,7,6/14/2017,6/20/2017,6/20/2017 20:00,3,27,high school,male
xqd20160483,COLLECTION_PAIDOFF,300,7,6/15/2017,6/21/2017,6/21/2017 21:00,3,25,college,female
xqd20160484,COLLECTION_PAIDOFF,200,7,6/16/2017,6/22/2017,6/22/2017 22:00,3,23,high school,male
xqd20160485,COLLECTION_PAIDOFF,100,7,6/17/2017,6/23/2017,6/23/2017 23:00,3,32,college,female
xqd20160486,PAIDOFF,1000,30,6/18/2017,7/17/2017,7/17/2017 0:00,,28,college,male
xqd20160487,PAIDOFF,900,30,6/19/2017,7/18/2017,7/18/2017 1:00,,26,college,female
xqd20160488,PAIDOFF,800,15,6/20/2017,7/4/2017,7/4/2017 2:00,,24,high school,male
xqd20160489,PAIDOFF,700,15,6/21/2017,7/5/2017,7/5/2017 3:00,,30,high school,female
xqd20160490,PAIDOFF,600,15,6/22/2017,7/6/2017,7/6/2017 4:00,,29,college,male
xqd20160491,PAIDOFF,500,15,6/23/2017,7/7/2017,7/7/2017 5:00,,31,college,female
xqd20160492,PAIDOFF,400,7,6/24/2017,6/30/2017,6/30/2017 6:00,,27,high school,male
xqd20160493,PAIDOFF,300,7,6/25/2017,7/1/2017,7/1/2017 7:00,,25,college,female
xqd20160494,PAIDOFF,200,7,6/26/2017,7/2/2017,7/2/2017 8:00,,23,high school,male
xqd20160495,PAIDOFF,100,7,6/27/2017,7/3/2017,7/3/2017 9:00,,32,college,female
xqd20160496,PAIDOFF,1000,30,7/4/2017,8/2/2017,8/2/2017 10:00,,28,college,male
xqd20160497,PAIDOFF,900,30,7/5/2017,8/3/2017,8/3/2017 11:00,,26,college,female
xqd20160498,PAIDOFF,800,15,7/6/2017,7/20/2017,7/20/2017 12:00,,24,high school,male
xqd20160499,PAIDOFF,700,15,7/7/2017,7/21/2017,7/21/2017 13:00,,30,high school,female
xqd20160500,PAIDOFF,600,15,7/8/2017,7/22/2017,7/22/2017 14:00,,29,college,male
xqd20160501,PAIDOFF,500,15,7/9/2017,7/23/2017,7/23/2017 15:00,,31,college,female
xqd20160502,PAIDOFF,400,7,7/10/2017,7/16/2017,7/16/2017 16:00,,27,high school,male
xqd20160503,PAIDOFF,300,7,7/11/2017,7/17/2017,7/17/2017 17:00,,25,college,female
xqd20160504,PAIDOFF,200,7,7/12/2017,7/18/2017,7/18/2017 18:00,,23,high school,male
xqd20160505,PAIDOFF,100,7,7/13/2017,7/19/2017,7/19/2017 19:00,,32,college,female
xqd20160506,COLLECTION,1000,30,7/14/2017,8/13/2017,,13,26,college,male
xqd20160507,COLLECTION,900,30,7/15/2017,8/14/2017,,14,24,college,female
xqd20160508,COLLECTION,800,15,7/16/2017,7/30/2017,,15,28,high school,male
xqd20160509,COLLECTION,700,15,7/17/2017,7/31/2017,,16,30,high school,female
xqd20160510,COLLECTION,600,15,7/18/2017,8/1/2017,,17,29,college,male
xqd20160511,COLLECTION,500,15,7/19/2017,8/2/2017,,18,31,college,female
xqd20160512,COLLECTION,400,7,7/20/2017,7/26/2017,,19,27,high school,male
xqd20160513,COLLECTION,300,7,7/21/2017,7/27/2017,,20,25,college,female
xqd20160514,COLLECTION,200,7,7/22/2017,7/28/2017,,21,23,high school,male
xqd20160515,COLLECTION,100,7,7/23/2017,7/29/2017,,22,32,college,female
xqd20160516,COLLECTION_PAIDOFF,1000,30,7/24/2017,8/23/2017,8/23/2017 23:00,5,26,college,male
xqd20160517,COLLECTION_PAIDOFF,900,30,7/25/2017,8/24/2017,8/24/2017 22:00,5,24,college,female
xqd20160518,COLLECTION_PAIDOFF,800,15,7/26/2017,8/9/2017,8/9/2017 21:00,5,28,high school,male
xqd20160519,COLLECTION_PAIDOFF,700,15,7/27/2017,8/10/2017,8/10/2017 20:00,5,30,high school,female
xqd20160520,COLLECTION_PAIDOFF,600,15,7/28/2017,8/11/2017,8/11/2017 19:00,5,29,college,male
xqd20160521,COLLECTION_PAIDOFF,500,15,7/29/2017,8/12/2017,8/12/2017 18:00,5,31,college,female
xqd20160522,COLLECTION_PAIDOFF,400,7,7/30/2017,8/5/2017,8/5/2017 17:00,5,27,high school,male
xqd20160523,COLLECTION_PAIDOFF,300,7,7/31/2017,8/6/2017,8/6/2017 16:00,5,25,college,female
xqd20160524,COLLECTION_PAIDOFF,200,7,8/1/2017,8/7/2017,8/7/2017 15:00,5,23,high school,male
xqd20160525,COLLECTION_PAIDOFF,100,7,8/2/2017,8/8/2017,8/8/2017 14:00,5,32,college,female
xqd20160526,PAIDOFF,1000,30,8/3/2017,9/1/2017,9/1/2017 13:00,,28,college,male
xqd20160527,PAIDOFF,900,30,8/4/2017,9/2/2017,9/2/2017 12:00,,26,college,female
xqd20160528,PAIDOFF,800,15,8/5/2017,8/19/2017,8/19/2017 11:00,,24,high school,male
xqd20160529,PAIDOFF,700,15,8/6/2017,8/20/2017,8/20/2017 10:00,,30,high school,female
xqd20160530,PAIDOFF,600,15,8/7/2017,8/21/2017,8/21/2017 9:00,,29,college,male
xqd20160531,PAIDOFF,500,15,8/8/2017,8/22/2017,8/22/2017 8:00,,31,college,female
xqd20160532,PAIDOFF,400,7,8/9/2017,8/15/2017,8/15/2017 7:00,,27,high school,male
xqd20160533,PAIDOFF,300,7,8/10/2017,8/16/2017,8/16/2017 6:00,,25,college,female
xqd20160534,PAIDOFF,200,7,8/11/2017,8/17/2017,8/17/2017 5:00,,23,high school,male
xqd20160535,PAIDOFF,100,7,8/12/2017,8/18/2017,8/18/2017 4:00,,32,college,female
xqd20160536,PAIDOFF,1000,30,8/13/2017,9/11/2017,9/11/2017 3:00,,28,college,male
xqd20160537,PAIDOFF,900,30,8/14/2017,9/12/2017,9/12/2017 2:00,,26,college,female
xqd20160538,PAIDOFF,800,15,8/15/2017,8/29/2017,8/29/2017 1:00,,24,high school,male
xqd20160539,PAIDOFF,700,15,8/16/2017,8/30/2017,8/30/2017 0:00,,30,high school,female
xqd20160540,PAIDOFF,600,15,8/17/2017,8/31/2017,8/31/2017 23:00,,29,college,male
xqd20160541,PAIDOFF,500,15,8/18/2017,9/1/2017,9/1/2017 22:00,,31,college,female
xqd20160542,PAIDOFF,400,7,8/19/2017,8/25/2017,8/25/2017 21:00,,27,high school,male
xqd20160543,PAIDOFF,300,7,8/20/2017,8/26/2017,8/26/2017 20:00,,25,college,female
xqd20160544,PAIDOFF,200,7,8/21/2017,8/27/2017,8/27/2017 19:00,,23,high school,male
xqd20160545,PAIDOFF,100,7,8/22/2017,8/28/2017,8/28/2017 18:00,,32,college,female
xqd20160546,COLLECTION,1000,30,8/23/2017,9/22/2017,,17,26,college,male
xqd20160547,COLLECTION,900,30,8/24/2017,9/23/2017,,18,24,college,female
xqd20160548,COLLECTION,800,15,8/25/2017,9/8/2017,,19,28,high school,male
xqd20160549,COLLECTION,700,15,8/26/2017,9/9/2017,,20,30,high school,female
xqd20160550,COLLECTION,600,15,8/27/2017,9/10/2017,,21,29,college,male
xqd20160551,COLLECTION,500,15,8/28/2017,9/11/2017,,22,31,college,female
xqd20160552,COLLECTION,400,7,8/29/2017,9/4/2017,,23,27,high school,male
xqd20160553,COLLECTION,300,7,8/30/2017,9/5/2017,,24,25,college,female
xqd20160554,COLLECTION,200,7,8/31/2017,9/6/2017,,25,23,high school,male
xqd20160555,COLLECTION,100,7,9/1/2017,9/7/2017,,26,32,college,female
xqd20160556,COLLECTION_PAIDOFF,1000,30,9/2/2017,10/2/2017,10/2/2017 17:00,5,26,college,male
xqd20160557,COLLECTION_PAIDOFF,900,30,9/3/2017,10/3/2017,10/3/2017 16:00,5,24,college,female
xqd20160558,COLLECTION_PAIDOFF,800,15,9/4/2017,9/18/2017,9/18/2017 15:00,5,28,high school,male
xqd20160559,COLLECTION_PAIDOFF,700,15,9/5/2017,9/19/2017,9/19/2017 14:00,5,30,high school,female
xqd20160560,COLLECTION_PAIDOFF,600,15,9/6/2017,9/20/2017,9/20/2017 13:00,5,29,college,male
xqd20160561,COLLECTION_PAIDOFF,500,15,9/7/2017,9/21/2017,9/21/2017 12:00,5,31,college,female
xqd20160562,COLLECTION_PAIDOFF,400,7,9/8/2017,9/14/2017,9/14/2017 11:00,5,27,high school,male
xqd20160563,COLLECTION_PAIDOFF,300,7,9/9/2017,9/15/2017,9/15/2017 10:00,5,25,college,female
xqd20160564,COLLECTION_PAIDOFF,200,7,9/10/2017,9/16/2017,9/16/2017 9:00,5,23,high school,male
xqd20160565,COLLECTION_PAIDOFF,100,7,9/11/2017,9/17/2017,9/17/2017 8:00,5,32,college,female
xqd20160566,PAIDOFF,1000,30,9/12/2017,10/11/2017,10/11/2017 7:00,,28,college,male
xqd20160567,PAIDOFF,900,30,9/13/2017,10/12/2017,10/12/2017 6:00,,26,college,female
xqd20160568,PAIDOFF,800,15,9/14/2017,9/28/2017,9/28/2017 5:00,,24,high school,male
xqd20160569,PAIDOFF,700,15,9/15/2017,9/29/2017,9/29/2017 4:00,,30,high school,female
xqd20160570,PAIDOFF,600,15,9/16/2017,9/30/2017,9/30/2017 3:00,,29,college,male
xqd20160571,PAIDOFF,500,15,9/17/2017,10/1/2017,10/1/2017 2:00,,31,college,female
xqd20160572,PAIDOFF,400,7,9/18/2017,9/24/2017,9/24/2017 1:00,,27,high school,male
xqd20160573,PAIDOFF,300,7,9/19/2017,9/25/2017,9/25/2017 0:00,,25,college,female
xqd20160574,PAIDOFF,200,7,9/20/2017,9/26/2017,9/26/2017 23:00,,23,high school,male
xqd20160575,PAIDOFF,100,7,9/21/2017,9/27/2017,9/27/2017 22:00,,32,college,female
xqd20160576,PAIDOFF,1000,30,10/1/2017,10/30/2017,10/30/2017 21:00,,28,college,male
xqd20160577,PAIDOFF,900,30,10/2/2017,10/31/2017,10/31/2017 20:00,,26,college,female
xqd20160578,PAIDOFF,800,15,10/3/2017,10/17/2017,10/17/2017 19:00,,24,high school,male
xqd20160579,PAIDOFF,700,15,10/4/2017,10/18/2017,10/18/2017 18:00,,30,high school,female
xqd20160580,PAIDOFF,600,15,10/5/2017,10/19/2017,10/19/2017 17:00,,29,college,male
xqd20160581,PAIDOFF,500,15,10/6/2017,10/20/2017,10/20/2017 16:00,,31,college,female
xqd20160582,PAIDOFF,400,7,10/7/2017,10/13/2017,10/13/2017 15:00,,27,high school,male
xqd20160583,PAIDOFF,300,7,10/8/2017,10/14/2017,10/14/2017 14:00,,25,college,female
xqd20160584,PAIDOFF,200,7,10/9/2017,10/15/2017,10/15/2017 13:00,,23,high school,male
xqd20160585,PAIDOFF,100,7,10/10/2017,10/16/2017,10/16/2017 12:00,,32,college,female
xqd20160586,COLLECTION,1000,30,10/11/2017,11/10/2017,,17,26,college,male
xqd20160587,COLLECTION,900,30,10/12/2017,11/11/2017,,18,24,college,female
xqd20160588,COLLECTION,800,15,10/13/2017,10/27/2017,,19,28,high school,male
xqd20160589,COLLECTION,700,15,10/14/2017,10/28/2017,,20,30,high school,female
xqd20160590,COLLECTION,600,15,10/15/2017,10/29/2017,,21,29,college,male
xqd20160591,COLLECTION,500,15,10/16/2017,10/30/2017,,22,31,college,female
xqd20160592,COLLECTION,400,7,10/17/2017,10/23/2017,,23,27,high school,male
xqd20160593,COLLECTION,300,7,10/18/2017,10/24/2017,,24,25,college,female
xqd20160594,COLLECTION,200,7,10/19/2017,10/25/2017,,25,23,high school,male
xqd20160595,COLLECTION,100,7,10/20/2017,10/26/2017,,26,32,college,female
xqd20160596,COLLECTION_PAIDOFF,1000,30,10/21/2017,11/20/2017,11/20/2017 11:00,5,26,college,male
xqd20160597,COLLECTION_PAIDOFF,900,30,10/22/2017,11/21/2017,11/21/2017 10:00,5,24,college,female
xqd20160598,COLLECTION_PAIDOFF,800,15,10/23/2017,11/6/2017,11/6/2017 9:00,5,28,high school,male
